dur sec 14	1	2	3	total		dur seg 14	1a	1b	2a	2b	3	total	
Csengery+Keller 1987	00:09	00:09	00:03	00:21		Csengery+Keller 1987	00:08	00:01	00:06	00:03	00:03	00:21	
Csengery+Keller 1990	00:09	00:08	00:03	00:21		Csengery+Keller 1990	00:08	00:01	00:06	00:03	00:03	00:21	
Komsi+Oramo 1994	00:10	00:09	00:02	00:21		Komsi+Oramo 1994	00:08	00:02	00:06	00:03	00:02	00:21	
Komsi+Oramo 1995	00:09	00:08	00:02	00:19		Komsi+Oramo 1995	00:07	00:02	00:05	00:03	00:02	00:19	
Whittlesey+Sallaberger 1997	00:10	00:09	00:03	00:22		Whittlesey+Sallaberger 1997	00:07	00:03	00:07	00:02	00:03	00:22	
Pammer+Kopatchinskaja 2004	00:10	00:09	00:03	00:22		Pammer+Kopatchinskaja 2004	00:07	00:03	00:05	00:03	00:03	00:22	
Arnold+Pogossian 2004	00:09	00:09	00:03	00:22		Arnold+Pogossian 2004	00:07	00:02	00:06	00:03	00:03	00:22	
Banse+Keller 2005	00:11	00:10	00:03	00:23		Banse+Keller 2005	00:07	00:03	00:07	00:03	00:03	00:23	
Arnold+Pogossian 2006	00:09	00:09	00:03	00:21		Arnold+Pogossian 2006	00:07	00:02	00:06	00:03	00:03	00:21	
Melzer+Stark 2012	00:08	00:07	00:03	00:17		Melzer+Stark 2012	00:06	00:02	00:05	00:02	00:03	00:17	
Melzer+Stark 2013	00:07	00:06	00:03	00:16		Melzer+Stark 2013	00:05	00:02	00:05	00:02	00:03	00:16	
Kammer+Widmann 2017	00:08	00:07	00:04	00:18		Kammer+Widmann 2017	00:06	00:02	00:05	00:02	00:04	00:18	
Melzer+Stark 2017	00:07	00:07	00:03	00:17		Melzer+Stark 2017	00:05	00:02	00:05	00:02	00:03	00:17	
Melzer+Stark 2019	00:08	00:09	00:02	00:19		Melzer+Stark 2019	00:07	00:02	00:06	00:03	00:02	00:19	
mean 14	00:09	00:08	00:03	00:20		mean 14	00:07	00:02	00:06	00:03	00:03	00:20	
min 14	00:07	00:06	00:02	00:16	MS 2013	min 14	00:05	00:01	00:05	00:02	00:02	00:16	MS 2013
max 14	00:11	00:10	00:04	00:23	BK 2005	max 14	00:08	00:03	00:07	00:03	00:04	00:23	BK 2005
rel stdv 14 (%)	12,03	13,73	17,23	10,93		rel stdv (%) 14	13,64	27,43	12,42	21,73	17,23	10,93	
dur sec 8	1	2	3	total		dur seg 8	1a	1b	2a	2b	3	total	
Csengery+Keller 1990	00:09	00:08	00:03	00:21		Csengery+Keller 1990	00:08	00:01	00:06	00:03	00:03	00:21	
Komsi+Oramo 1995	00:09	00:08	00:02	00:19		Komsi+Oramo 1995	00:07	00:02	00:05	00:03	00:02	00:19	
Whittlesey+Sallaberger 1997	00:10	00:09	00:03	00:22		Whittlesey+Sallaberger 1997	00:07	00:03	00:07	00:02	00:03	00:22	
Pammer+Kopatchinskaja 2004	00:10	00:09	00:03	00:22		Pammer+Kopatchinskaja 2004	00:07	00:03	00:05	00:03	00:03	00:22	
Arnold+Pogossian 2004	00:09	00:09	00:03	00:22		Arnold+Pogossian 2004	00:07	00:02	00:06	00:03	00:03	00:22	
Banse+Keller 2005	00:11	00:10	00:03	00:23		Banse+Keller 2005	00:07	00:03	00:07	00:03	00:03	00:23	
Melzer+Stark 2012	00:08	00:07	00:03	00:17		Melzer+Stark 2012	00:06	00:02	00:05	00:02	00:03	00:17	
Kammer+Widmann 2017	00:08	00:07	00:04	00:18		Kammer+Widmann 2017	00:06	00:02	00:05	00:02	00:04	00:18	
mean 8	00:09	00:08	00:03	00:21		mean 8	00:07	00:02	00:06	00:03	00:03	00:21	
min 8	00:08	00:07	00:02	00:17	MS 2012	min 8	00:06	00:01	00:05	00:02	00:02	00:17	MS 2012
max 8	00:11	00:10	00:04	00:23	BK 2005	max 8	00:08	00:03	00:07	00:03	00:04	00:23	BK 2005
rel stdv 8 (%)	12,05	13,03	17,87	10,67		rel stdv (%) 8	10,67	29,28	12,25	23,20	17,87	10,67	
perc sec 14	1	2	3			perc seg 14	1a	1b	2a	2b	3		
Csengery+Keller 1987	44,09	43,47	12,45			Csengery+Keller 1987	38,65	5,44	29,17	14,30	12,45		
Csengery+Keller 1990	45,94	40,64	13,41			Csengery+Keller 1990	39,38	6,56	28,24	12,40	13,41		
Komsi+Oramo 1994	45,24	44,25	10,51			Komsi+Oramo 1994	35,45	9,79	29,74	14,51	10,51		
Komsi+Oramo 1995	46,29	42,68	11,03			Komsi+Oramo 1995	35,12	11,18	28,66	14,02	11,03		
Whittlesey+Sallaberger 1997	45,19	40,68	14,13			Whittlesey+Sallaberger 1997	32,67	12,52	29,70	10,99	14,13		
Pammer+Kopatchinskaja 2004	45,37	39,31	15,32			Pammer+Kopatchinskaja 2004	33,22	12,15	23,79	15,51	15,32		
Arnold+Pogossian 2004	42,19	42,39	15,42			Arnold+Pogossian 2004	31,39	10,80	27,78	14,61	15,42		
Banse+Keller 2005	44,89	42,30	12,80			Banse+Keller 2005	31,23	13,66	29,88	12,43	12,80		
Arnold+Pogossian 2006	42,25	44,24	13,51			Arnold+Pogossian 2006	31,65	10,60	28,43	15,81	13,51		
Melzer+Stark 2012	44,42	39,68	15,90			Melzer+Stark 2012	35,41	9,02	29,37	10,31	15,90		
Melzer+Stark 2013	44,41	38,85	16,73			Melzer+Stark 2013	32,52	11,89	27,72	11,13	16,73		
Kammer+Widmann 2017	41,32	37,34	21,35			Kammer+Widmann 2017	31,86	9,45	27,49	9,85	21,35		
Melzer+Stark 2017	43,75	40,06	16,19			Melzer+Stark 2017	29,93	13,82	27,68	12,37	16,19		
Melzer+Stark 2019	43,45	44,23	12,31			Melzer+Stark 2019	34,33	9,12	29,56	14,67	12,31		
mean 14	44,20	41,44	14,36			mean 14	33,77	10,43	28,37	13,07	14,36		
min 14	41,32	37,34	10,51			min 14	29,93	5,44	23,79	9,85	10,51		
max 14	46,29	44,25	21,35			max 14	39,38	13,82	29,88	15,81	21,35		
abs stdv 14	1,48	2,24	2,77			abs stdv 14	2,79	2,44	1,57	1,97	2,77		
perc sec 8	1	2	3			perc seg 8	1a	1b	2a	2b	3		
Csengery+Keller 1990	45,94	40,64	13,41			Csengery+Keller 1990	39,38	6,56	28,24	12,40	13,41		
Komsi+Oramo 1995	46,29	42,68	11,03			Komsi+Oramo 1995	35,12	11,18	28,66	14,02	11,03		
Whittlesey+Sallaberger 1997	45,19	40,68	14,13			Whittlesey+Sallaberger 1997	32,67	12,52	29,70	10,99	14,13		
Pammer+Kopatchinskaja 2004	45,37	39,31	15,32			Pammer+Kopatchinskaja 2004	33,22	12,15	23,79	15,51	15,32		
Arnold+Pogossian 2004	42,19	42,39	15,42			Arnold+Pogossian 2004	31,39	10,80	27,78	14,61	15,42		
Banse+Keller 2005	44,89	42,30	12,80			Banse+Keller 2005	31,23	13,66	29,88	12,43	12,80		
Melzer+Stark 2012	44,42	39,68	15,90			Melzer+Stark 2012	35,41	9,02	29,37	10,31	15,90		
Kammer+Widmann 2017	41,32	37,34	21,35			Kammer+Widmann 2017	31,86	9,45	27,49	9,85	21,35		
