dur sec 14	1	2	3	total		dur seg 14	1a	1b	1c	1d	2a	2b	2c	3a	3b	3c	total	
Csengery+Keller 1987	00:32	00:24	00:11	01:07		Csengery+Keller 1987	00:14	00:10	00:05	00:03	00:07	00:14	00:02	00:07	00:01	00:03	01:07	
Csengery+Keller 1990	00:35	00:25	00:12	01:12		Csengery+Keller 1990	00:15	00:10	00:05	00:05	00:08	00:15	00:02	00:08	00:01	00:03	01:12	
Komsi+Oramo 1994	00:27	00:21	00:10	00:58		Komsi+Oramo 1994	00:12	00:09	00:04	00:03	00:08	00:11	00:02	00:06	00:01	00:02	00:58	
Komsi+Oramo 1995	00:31	00:19	00:09	01:00		Komsi+Oramo 1995	00:14	00:09	00:04	00:03	00:08	00:09	00:02	00:06	00:01	00:02	01:00	
Whittlesey+Sallaberger 1997	00:38	00:29	00:10	01:17		Whittlesey+Sallaberger 1997	00:19	00:09	00:05	00:05	00:10	00:12	00:06	00:07	00:00	00:03	01:17	
Pammer+Kopatchinskaja 2004	00:31	00:22	00:12	01:05		Pammer+Kopatchinskaja 2004	00:13	00:10	00:05	00:03	00:08	00:11	00:02	00:08	00:00	00:03	01:05	
Arnold+Pogossian 2004	00:31	00:18	00:10	00:59		Arnold+Pogossian 2004	00:14	00:09	00:04	00:03	00:07	00:10	00:01	00:06	00:01	00:03	00:59	
Banse+Keller 2005	00:35	00:22	00:12	01:09		Banse+Keller 2005	00:16	00:10	00:06	00:04	00:07	00:12	00:03	00:08	00:00	00:04	01:09	
Arnold+Pogossian 2006	00:33	00:20	00:11	01:04		Arnold+Pogossian 2006	00:15	00:10	00:05	00:04	00:08	00:10	00:03	00:06	00:01	00:03	01:04	
Melzer+Stark 2012	00:33	00:23	00:10	01:06		Melzer+Stark 2012	00:15	00:10	00:05	00:04	00:07	00:13	00:02	00:07	00:00	00:03	01:06	
Melzer+Stark 2013	00:31	00:22	00:10	01:02		Melzer+Stark 2013	00:13	00:10	00:04	00:03	00:06	00:13	00:03	00:07	00:00	00:03	01:02	
Kammer+Widmann 2017	00:28	00:24	00:12	01:04		Kammer+Widmann 2017	00:12	00:08	00:05	00:03	00:07	00:11	00:06	00:07	00:01	00:04	01:04	
Melzer+Stark 2017	00:32	00:22	00:10	01:03		Melzer+Stark 2017	00:13	00:10	00:05	00:03	00:07	00:11	00:04	00:07	00:00	00:02	01:03	
Melzer+Stark 2019	00:33	00:21	00:10	01:04		Melzer+Stark 2019	00:14	00:12	00:05	00:03	00:06	00:13	00:02	00:07	00:00	00:02	01:04	
mean 14	00:32	00:22	00:11	01:05		mean 14	00:14	00:10	00:05	00:03	00:08	00:12	00:03	00:07	00:01	00:03	01:05	
min 14	00:27	00:18	00:09	00:58	KO94	min 14	00:12	00:08	00:04	00:03	00:06	00:09	00:01	00:06	00:00	00:02	00:58	KO94
max 14	00:38	00:29	00:12	01:17	WS 1997	max 14	00:19	00:12	00:06	00:05	00:10	00:15	00:06	00:08	00:01	00:04	01:17	WS 1997
rel stdv (%) 14	8,68	11,90	9,41	7,81		rel stdv (%) 14	12,20	8,32	11,61	15,47	14,29	13,96	51,56	9,72	60,42	16,33	7,81	
dur sec 8	1	2	3	total		dur seg 8	1a	1b	1c	1d	2a	2b	2c	3a	3b	3c	total	
Csengery+Keller 1990	00:35	00:25	00:12	01:12		Csengery+Keller 1990	00:15	00:10	00:05	00:05	00:08	00:15	00:02	00:08	00:01	00:03	01:12	
Komsi+Oramo 1995	00:31	00:19	00:09	01:00		Komsi+Oramo 1995	00:14	00:09	00:04	00:03	00:08	00:09	00:02	00:06	00:01	00:02	01:00	
Whittlesey+Sallaberger 1997	00:38	00:29	00:10	01:17		Whittlesey+Sallaberger 1997	00:19	00:09	00:05	00:05	00:10	00:12	00:06	00:07	00:00	00:03	01:17	
Pammer+Kopatchinskaja 2004	00:31	00:22	00:12	01:05		Pammer+Kopatchinskaja 2004	00:13	00:10	00:05	00:03	00:08	00:11	00:02	00:08	00:00	00:03	01:05	
Arnold+Pogossian 2004	00:31	00:18	00:10	00:59		Arnold+Pogossian 2004	00:14	00:09	00:04	00:03	00:07	00:10	00:01	00:06	00:01	00:03	00:59	
Banse+Keller 2005	00:35	00:22	00:12	01:09		Banse+Keller 2005	00:16	00:10	00:06	00:04	00:07	00:12	00:03	00:08	00:00	00:04	01:09	
Melzer+Stark 2012	00:33	00:23	00:10	01:06		Melzer+Stark 2012	00:15	00:10	00:05	00:04	00:07	00:13	00:02	00:07	00:00	00:03	01:06	
Kammer+Widmann 2017	00:28	00:24	00:12	01:04		Kammer+Widmann 2017	00:12	00:08	00:05	00:03	00:07	00:11	00:06	00:07	00:01	00:04	01:04	
mean 8	00:33	00:23	00:11	01:06		mean 8	00:15	00:10	00:05	00:04	00:08	00:12	00:03	00:07	00:01	00:03	01:06	
min 8	00:28	00:18	00:09	00:59	AP 2004	min 8	00:12	00:08	00:04	00:03	00:07	00:09	00:01	00:06	00:00	00:02	00:59	AP 2004
max 8	00:38	00:29	00:12	01:17	WS 1997	max 8	00:19	00:10	00:06	00:05	00:10	00:15	00:06	00:08	00:01	00:04	01:17	WS 1997
rel stdv (%) 8 	9,50	14,90	10,09	9,07		rel stdv (%) 8	13,50	6,27	11,56	17,26	14,58	14,99	60,69	11,11	47,65	13,62	9,07	
perc sec 14	1	2	3			perc seg 14	1a	1b	1c	1d	2a	2b	2c	3a	3b	3c		
score	45,73	39,02	15,24															
Csengery+Keller 1987	48,02	35,40	16,58			Csengery+Keller 1987	20,90	14,72	7,20	5,19	10,66	21,38	3,36	10,61	1,64	4,33		
Csengery+Keller 1990	48,19	35,22	16,58			Csengery+Keller 1990	21,53	13,89	6,43	6,34	11,26	20,56	3,41	11,03	0,92	4,63		
Komsi+Oramo 1994	46,66	36,56	16,77			Komsi+Oramo 1994	20,36	14,88	6,30	5,13	14,14	18,32	4,10	10,67	2,12	3,98		
Komsi+Oramo 1995	51,83	32,39	15,78			Komsi+Oramo 1995	24,01	15,51	7,05	5,26	13,71	15,49	3,18	10,50	1,36	3,92		
Whittlesey+Sallaberger 1997	49,46	37,29	13,26			Whittlesey+Sallaberger 1997	24,21	12,32	7,03	5,90	13,59	15,82	7,87	8,62	0,53	4,10		
Pammer+Kopatchinskaja 2004	48,32	33,55	18,13			Pammer+Kopatchinskaja 2004	20,11	15,84	7,76	4,61	13,03	16,68	3,84	12,45	0,57	5,11		
Arnold+Pogossian 2004	52,52	30,42	17,06			Arnold+Pogossian 2004	24,33	15,89	6,66	5,65	11,44	17,20	1,78	10,49	1,19	5,38		
Banse+Keller 2005	50,60	31,58	17,82			Banse+Keller 2005	22,77	14,05	8,04	5,75	10,45	17,28	3,84	11,87	0,68	5,27		
Arnold+Pogossian 2006	51,40	31,50	17,10			Arnold+Pogossian 2006	23,65	15,26	7,03	5,45	11,99	15,53	3,98	9,83	2,30	4,97		
Melzer+Stark 2012	50,41	34,19	15,40			Melzer+Stark 2012	22,60	15,13	7,17	5,50	11,13	19,55	3,51	10,54	0,39	4,46		
Melzer+Stark 2013	49,17	34,78	16,05			Melzer+Stark 2013	21,56	15,47	6,75	5,39	10,10	20,28	4,40	10,53	0,35	5,17		
Kammer+Widmann 2017	43,71	37,60	18,70			Kammer+Widmann 2017	18,60	12,99	7,24	4,87	11,21	16,80	9,58	11,05	1,79	5,86		
Melzer+Stark 2017	50,21	34,35	15,44			Melzer+Stark 2017	21,07	16,41	8,28	4,45	10,35	17,24	6,76	11,09	0,73	3,63		
Melzer+Stark 2019	52,16	32,88	14,96			Melzer+Stark 2019	21,16	18,44	7,22	5,33	10,12	19,98	2,77	10,84	0,38	3,74		
mean 14	49,48	34,12	16,40			mean 14	21,92	15,06	7,16	5,35	11,66	18,01	4,46	10,72	1,07	4,61		
min 14	43,71	30,42	13,26			min 14	18,60	12,32	6,30	4,45	10,10	15,49	1,78	8,62	0,35	3,63		
max 14	52,52	37,60	18,70			max 14	24,33	18,44	8,28	6,34	14,14	21,38	9,58	12,45	2,30	5,86		
abs stdv 14	2,40	2,21	1,41			abs stdv 14	1,73	1,50	0,56	0,50	1,41	1,99	2,13	0,88	0,67	0,69		
perc sec 8	1	2	3			perc seg 8	1a	1b	1c	1d	2a	2b	2c	3a	3b	3c		
score	45,73	39,02	15,24															
Csengery+Keller 1990	48,19	35,22	16,58			Csengery+Keller 1990	21,53	13,89	6,43	6,34	11,26	20,56	3,41	11,03	0,92	4,63		
Komsi+Oramo 1995	51,83	32,39	15,78			Komsi+Oramo 1995	24,01	15,51	7,05	5,26	13,71	15,49	3,18	10,50	1,36	3,92		
Whittlesey+Sallaberger 1997	49,46	37,29	13,26			Whittlesey+Sallaberger 1997	24,21	12,32	7,03	5,90	13,59	15,82	7,87	8,62	0,53	4,10		
Pammer+Kopatchinskaja 2004	48,32	33,55	18,13			Pammer+Kopatchinskaja 2004	20,11	15,84	7,76	4,61	13,03	16,68	3,84	12,45	0,57	5,11		
Arnold+Pogossian 2004	52,52	30,42	17,06			Arnold+Pogossian 2004	24,33	15,89	6,66	5,65	11,44	17,20	1,78	10,49	1,19	5,38		
Banse+Keller 2005	50,60	31,58	17,82			Banse+Keller 2005	22,77	14,05	8,04	5,75	10,45	17,28	3,84	11,87	0,68	5,27		
Melzer+Stark 2012	50,41	34,19	15,40			Melzer+Stark 2012	22,60	15,13	7,17	5,50	11,13	19,55	3,51	10,54	0,39	4,46		
Kammer+Widmann 2017	43,71	37,60	18,70			Kammer+Widmann 2017	18,60	12,99	7,24	4,87	11,21	16,80	9,58	11,05	1,79	5,86		
mean 8	49,38	34,03	16,59			mean 8	22,27	14,45	7,17	5,49	11,98	17,42	4,63	10,82	0,93	4,84		
min 8	43,71	30,42	13,26			min 8	18,60	12,32	6,43	4,61	10,45	15,49	1,78	8,62	0,39	3,92		
max 8	52,52	37,60	18,70			max 8	24,33	15,89	8,04	6,34	13,71	20,56	9,58	12,45	1,79	5,86		
abs stdv 8 	2,76	2,58	1,76			abs stdv 8	2,07	1,35	0,53	0,56	1,26	1,76	2,65	1,13	0,48	0,67		
