dur sec 14	1	2	total		dur seg 14	1a	1b	1c	1d	2a	2b	total	
Csengery+Keller 1987	00:28	00:21	00:49		Csengery+Keller 1987	00:07	00:01	00:16	00:04	00:09	00:11	00:49	
Csengery+Keller 1990	00:26	00:16	00:43		Csengery+Keller 1990	00:07	00:01	00:15	00:04	00:08	00:09	00:43	
Komsi+Oramo 1994	00:32	00:20	00:52		Komsi+Oramo 1994	00:09	00:02	00:17	00:04	00:10	00:10	00:52	
Komsi+Oramo 1995	00:32	00:20	00:52		Komsi+Oramo 1995	00:09	00:02	00:17	00:04	00:10	00:10	00:52	
Whittlesey+Sallaberger 1997	00:30	00:18	00:48		Whittlesey+Sallaberger 1997	00:07	00:01	00:16	00:06	00:09	00:09	00:48	
Pammer+Kopatchinskaja 2004	00:28	00:14	00:42		Pammer+Kopatchinskaja 2004	00:07	00:01	00:15	00:04	00:07	00:07	00:42	
Arnold+Pogossian 2004	00:28	00:20	00:48		Arnold+Pogossian 2004	00:07	00:01	00:15	00:05	00:08	00:12	00:48	
Banse+Keller 2005	00:28	00:20	00:48		Banse+Keller 2005	00:07	00:01	00:16	00:04	00:10	00:10	00:48	
Arnold+Pogossian 2006	00:27	00:17	00:45		Arnold+Pogossian 2006	00:07	00:01	00:15	00:05	00:08	00:09	00:45	
Melzer+Stark 2012	00:29	00:21	00:50		Melzer+Stark 2012	00:08	00:01	00:15	00:05	00:10	00:11	00:50	
Melzer+Stark 2013	00:27	00:21	00:48		Melzer+Stark 2013	00:07	00:01	00:14	00:05	00:10	00:12	00:48	
Kammer+Widmann 2017	00:26	00:15	00:41		Kammer+Widmann 2017	00:07	00:01	00:14	00:04	00:08	00:07	00:41	
Melzer+Stark 2017	00:30	00:18	00:48		Melzer+Stark 2017	00:08	00:01	00:15	00:06	00:08	00:10	00:48	
Melzer+Stark 2019	00:32	00:22	00:54		Melzer+Stark 2019	00:09	00:01	00:16	00:06	00:10	00:12	00:54	
mean 14	00:29	00:19	00:48		mean 14	00:08	00:01	00:15	00:05	00:09	00:10	00:48	
min 14	00:26	00:14	00:41	KW 2017	min 14	00:07	00:01	00:14	00:04	00:07	00:07	00:41	KW 2017
max 14	00:32	00:22	00:54	MS 2019	max 14	00:09	00:02	00:17	00:06	00:10	00:12	00:54	MS 2019
rel stdv 14 (%)	6,95	13,00	8,18		rel stdv (%) 14	00:11	00:31	00:06	00:17	00:12	00:16	00:08	
dur sec 8	1	2	total		dur sec 8	1a	1b	1c	1d	2a	2b	total	
Csengery+Keller 1990	00:26	00:16	00:43		Csengery+Keller 1990	00:07	00:01	00:15	00:04	00:08	00:09	00:43	
Komsi+Oramo 1995	00:32	00:20	00:52		Komsi+Oramo 1995	00:09	00:02	00:17	00:04	00:10	00:10	00:52	
Whittlesey+Sallaberger 1997	00:30	00:18	00:48		Whittlesey+Sallaberger 1997	00:07	00:01	00:16	00:06	00:09	00:09	00:48	
Pammer+Kopatchinskaja 2004	00:28	00:14	00:42		Pammer+Kopatchinskaja 2004	00:07	00:01	00:15	00:04	00:07	00:07	00:42	
Arnold+Pogossian 2004	00:28	00:20	00:48		Arnold+Pogossian 2004	00:07	00:01	00:15	00:05	00:08	00:12	00:48	
Banse+Keller 2005	00:28	00:20	00:48		Banse+Keller 2005	00:07	00:01	00:16	00:04	00:10	00:10	00:48	
Melzer+Stark 2012	00:29	00:21	00:50		Melzer+Stark 2012	00:08	00:01	00:15	00:05	00:10	00:11	00:50	
Kammer+Widmann 2017	00:26	00:15	00:41		Kammer+Widmann 2017	00:07	00:01	00:14	00:04	00:08	00:07	00:41	
mean 8	00:28	00:18	00:46		mean 8	00:07	00:01	00:15	00:04	00:09	00:09	00:46	
min 8	00:26	00:14	00:41	KW 2017	min 8	00:07	00:01	00:14	00:04	00:07	00:07	00:41	KW 2017
max 8	00:32	00:21	00:52	KO 1995	max 8	00:09	00:02	00:17	00:06	00:10	00:12	00:52	KO 1995
rel stdv 8 (%)	6,67	14,09	8,49		rel stdv (%) 8	00:09	00:33	00:06	00:14	00:14	00:17	00:08	
perc sec 14	1	2			perc seg 14	1a	1b	1c	1d	2a	2b		
Csengery+Keller 1987	57,91	42,09			Csengery+Keller 1987	14,35	2,92	32,24	8,40	19,31	22,78		
Csengery+Keller 1990	61,74	38,26			Csengery+Keller 1990	16,88	1,47	34,56	8,84	18,03	20,23		
Komsi+Oramo 1994	61,14	38,86			Komsi+Oramo 1994	17,23	3,46	33,45	7,00	19,25	19,61		
Komsi+Oramo 1995	61,57	38,43			Komsi+Oramo 1995	16,92	3,65	33,29	7,71	19,61	18,81		
Whittlesey+Sallaberger 1997	62,45	37,55			Whittlesey+Sallaberger 1997	15,64	2,36	32,76	11,70	18,51	19,04		
Pammer+Kopatchinskaja 2004	65,91	34,09			Pammer+Kopatchinskaja 2004	16,86	3,10	35,94	10,01	16,96	17,13		
