dur sec 14	1	2	3	total		dur seg 14	1a	1b	1c	2a	2b	2c	2d	3	total	
Csengery+Keller 1987	00:10	00:20	00:06	00:36		Csengery+Keller 1987	00:06	00:01	00:03	00:06	00:01	00:05	00:08	00:06	00:36	
Csengery+Keller 1990	00:12	00:23	00:07	00:42		Csengery+Keller 1990	00:07	00:02	00:03	00:07	00:02	00:06	00:08	00:07	00:42	
Komsi+Oramo 1994	00:06	00:13	00:04	00:23		Komsi+Oramo 1994	00:04	00:01	00:02	00:04	00:01	00:03	00:05	00:04	00:23	
Komsi+Oramo 1995	00:07	00:14	00:05	00:26		Komsi+Oramo 1995	00:04	00:01	00:02	00:04	00:01	00:04	00:06	00:05	00:26	
Whittlesey+Sallaberger 1997	00:09	00:20	00:07	00:37		Whittlesey+Sallaberger 1997	00:05	00:01	00:03	00:06	00:01	00:05	00:08	00:07	00:37	
Pammer+Kopatchinskaja 2004	00:12	00:22	00:06	00:40		Pammer+Kopatchinskaja 2004	00:06	00:02	00:03	00:07	00:02	00:05	00:08	00:06	00:40	
Arnold+Pogossian 2004	00:09	00:18	00:06	00:33		Arnold+Pogossian 2004	00:05	00:01	00:03	00:06	00:01	00:04	00:07	00:06	00:33	
Banse+Keller 2005	00:10	00:24	00:07	00:41		Banse+Keller 2005	00:06	00:01	00:03	00:07	00:02	00:06	00:09	00:07	00:41	
Arnold+Pogossian 2006	00:09	00:18	00:06	00:33		Arnold+Pogossian 2006	00:05	00:01	00:03	00:06	00:01	00:04	00:07	00:06	00:33	
Melzer+Stark 2012	00:09	00:18	00:06	00:34		Melzer+Stark 2012	00:05	00:01	00:03	00:06	00:01	00:04	00:06	00:06	00:34	
Melzer+Stark 2013	00:09	00:18	00:06	00:33		Melzer+Stark 2013	00:05	00:01	00:03	00:06	00:01	00:04	00:07	00:06	00:33	
Kammer+Widmann 2017	00:11	00:19	00:07	00:36		Kammer+Widmann 2017	00:06	00:01	00:04	00:06	00:01	00:04	00:07	00:07	00:36	
Melzer+Stark 2017	00:10	00:19	00:06	00:34		Melzer+Stark 2017	00:05	00:01	00:03	00:06	00:01	00:04	00:07	00:06	00:34	
Melzer+Stark 2019	00:11	00:19	00:06	00:36		Melzer+Stark 2019	00:06	00:02	00:04	00:06	00:01	00:05	00:07	00:06	00:36	
mean 14	00:10	00:19	00:06	00:35		mean 14	00:05	00:01	00:03	00:06	00:01	00:05	00:07	00:06	00:35	
min 14	00:06	00:13	00:04	00:23	KO 1994	min 14	00:04	00:01	00:02	00:04	00:01	00:03	00:05	00:04	00:23	KO 1994
max 14	00:12	00:24	00:07	00:42	CK 1990	max 14	00:07	00:02	00:04	00:07	00:02	00:06	00:09	00:07	00:42	CK 1990
rel stdv (%) 14	17,26	15,29	15,30	14,85		rel stdv (%) 14	15,70	33,26	19,24	16,22	17,47	18,35	13,41	15,30	14,85	
